Shape Name;Shape Class;Number of Vertices;Number of Faces;Type of Faces;3D Bounding Box
D00103.obj;Gun;1931;1654;Triangle;"[[-0.795672 -0.453606 -0.096347]
 [ 0.776603  0.434456  0.151426]]"
D01006.obj;Hand;7929;15855;Triangle;"[[0.025    0.025    0.025   ]
 [0.576129 0.975    0.67506 ]]"
m1627.obj;Hat;1009;1998;Triangle;"[[0.025    0.025    0.025   ]
 [0.975    0.462361 0.690203]]"
D00038.obj;Helicopter;13309;25129;Triangle;"[[-0.852061 -0.325843 -0.198539]
 [ 1.00076   0.183623  0.129104]]"
D00001.obj;House;46622;90161;Triangle;"[[-0.725983 -0.989338 -0.54204 ]
 [ 1.0083    0.753159  0.440249]]"
D00013.obj;HumanHead;5244;30981;Triangle;"[[-3.80574  -0.905669 15.1802  ]
 [-1.68524   1.57128  18.3088  ]]"
m118.obj;Humanoid;472;888;Triangle;"[[0.025    0.025    0.025   ]
 [0.283933 0.975    0.197224]]"
D00081.obj;Insect;313;578;Triangle;"[[-0.875191 -0.350645 -0.350236]
 [ 0.869178  1.0443    0.225886]]"
m1147.obj;Jet;1149;2320;Triangle;"[[0.025    0.025    0.025   ]
 [0.975    0.33131  0.884672]]"
D01015.obj;Knife;886;6330;Triangle;"[[-0.157745 -0.662873 -0.01905 ]
 [ 0.966448  2.667893  0.06985 ]]"
D00017.obj;MilitaryVehicle;27719;49148;Triangle;"[[-0.83624  -0.486638 -0.307567]
 [ 0.707405  0.592129  0.256001]]"
D00007.obj;Monitor;1552;2568;Triangle;"[[-1.04744  -0.981066 -0.445994]
 [ 0.827542  0.775356  0.288835]]"
D00011.obj;Monoplane;597;1032;Triangle;"[[-1.04299  -0.984635 -0.255354]
 [ 0.759531  1.00171   0.210928]]"
D00021.obj;Motorcycle;9543;18238;Triangle;"[[-0.782274 -0.599836 -0.446144]
 [ 0.963886  0.58957   0.338896]]"
D00172.obj;Mug;1800;3440;Triangle;"[[-0.633302 -0.904028 -0.590048]
 [ 1.03805   0.63172   0.582585]]"
D00036.obj;MultiSeat;144;264;Triangle;"[[-0.832857 -0.476089 -0.572738]
 [ 0.880015  0.700437  0.464139]]"
m625.obj;Musical_Instrument;3655;7019;Triangle;"[[0.025    0.025    0.025   ]
 [0.975    0.35284  0.098369]]"
D00037.obj;NonWheelChair;2936;5336;Triangle;"[[-0.92367  -0.947778 -0.594191]
 [ 0.760088  0.73821   0.578576]]"
D00008.obj;PianoBoard;2078;12900;Triangle;"[[2.480693 0.916081 0.      ]
 [3.207958 2.298475 0.95426 ]]"
D00049.obj;PlantIndoors;78288;26096;Triangle;"[[-0.589232 -0.512441 -0.661781]
 [ 1.01327   1.15418   0.664292]]"
m1052.obj;PlantWildNonTree;342;186;Triangle;"[[0.025    0.025    0.025   ]
 [0.975    0.928908 0.915534]]"
D00111.obj;Quadruped;2315;4574;Triangle;"[[-0.740298 -0.509401 -0.279019]
 [ 0.96725   0.46231   0.301237]]"
D00134.obj;RectangleTable;224;422;Triangle;"[[-0.706206 -0.369079 -0.100446]
 [ 0.728155  0.485354  0.618111]]"
D00015.obj;Rocket;88;156;Triangle;"[[-0.376261 -0.194145 -0.207637]
 [ 1.17067   0.232521  0.219035]]"
D00083.obj;RoundTable;1072;2040;Triangle;"[[-0.582531 -0.776936 -0.780501]
 [ 0.961607  0.833361  0.835638]]"
D00057.obj;Shelf;9850;6900;Triangle;"[[-0.956341 -0.702769 -0.300438]
 [ 0.730087  0.462335  0.20203 ]]"
D00027.obj;Ship;4202;4887;Triangle;"[[-0.70186  -0.403568 -0.196767]
 [ 1.03006   0.302762  0.180722]]"
m1670.obj;Sign;221;217;Triangle;"[[0.025    0.025    0.025   ]
 [0.335607 0.975    0.068536]]"
D00006.obj;Skyscraper;48737;54489;Triangle;"[[-0.86549  -0.383786 -0.427664]
 [ 1.06092   0.452534  0.325606]]"
D00014.obj;Spoon;748;4485;Triangle;"[[ 3.419584  0.835941 -0.025512]
 [ 4.279629  5.10234   0.278286]]"
m1353.obj;Starship;2124;4147;Triangle;"[[0.025    0.025    0.025   ]
 [0.489988 0.975    0.336106]]"
D00052.obj;SubmachineGun;2258;4275;Triangle;"[[-1.06996  -0.313674 -0.091492]
 [ 0.601225  0.460192  0.133358]]"
D00066.obj;Sword;18993;21764;Triangle;"[[-1.1684   -0.167468 -0.046728]
 [ 0.365576  0.149393  0.040217]]"
D01003.obj;Tool;3963;7922;Triangle;"[[-0.622121 -0.079239 -0.931854]
 [ 0.565481  0.077786  0.80838 ]]"
D01008.obj;Train;4469;25020;Triangle;"[[-74.6464   18.6005    1.18313]
 [-68.8803   26.3091    4.87077]]"
D00096.obj;Tree;54223;36512;Triangle;"[[-0.671356 -0.373399 -0.334295]
 [ 1.18867   0.359227  0.362451]]"
D00002.obj;Truck;482;2520;Triangle;"[[ 2.679006 -0.899511 -0.027327]
 [ 8.419631  1.422532  1.861361]]"
D00055.obj;TruckNonContainer;7636;45843;Triangle;"[[0.       0.       0.      ]
 [2.548206 5.85285  3.757917]]"
m527.obj;Vase;176;348;Triangle;"[[0.025 0.025 0.025]
 [0.975 0.975 0.975]]"
D00108.obj;Violin;1529;8214;Triangle;"[[ 2.68762  -2.46873   0.483871]
 [ 4.70813   3.10917   1.0828  ]]"
m733.obj;Wheel;648;1296;Triangle;"[[0.025    0.025    0.025   ]
 [0.970948 0.975    0.438043]]"
D00004.obj;WheelChair;27581;47752;Triangle;"[[-0.539185 -0.395839 -0.410905]
 [ 1.24602   0.435985  0.381082]]"
